S.no,Content ID,Reaction Type,Score,Sentiment,Datetime,Content Type,Category,,,,
,,,,,,,,,,,
1,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,0,negative,07-11-2020 09:43,photo,Studying,,,Category,Total Score
2,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,10,negative,17-06-2021 12:22,photo,Studying,,,,
3,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,15,negative,18-04-2021 05:13,photo,Studying,,,Animals,74965
4,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,0,negative,06-01-2021 19:13,photo,Studying,,,science,71168
5,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,30,positive,23-08-2020 12:25,photo,Studying,,,healthy eating,69339
6,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,35,neutral,07-12-2020 06:27,photo,Studying,,,technology,68738
7,97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,70,positive,11-04-2021 17:35,photo,Studying,,,food,66676
8,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,5,negative,27-01-2021 08:32,photo,Studying,,,culture,66579
9,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,35,neutral,01-04-2021 22:54,photo,Studying,,,travel,64880
10,97522e57-d9ab-4bd6-97bf-c24d952602d2,love,65,positive,04-08-2020 05:05,photo,Studying,,,cooking,64756
11,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,20,neutral,07-11-2020 08:36,photo,Studying,,,soccer,57783
12,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,15,negative,02-11-2020 06:28,photo,Studying,,,education,57436
13,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,30,positive,01-11-2020 01:16,photo,Studying,,,fitness,55323
14,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,5,negative,07-10-2020 18:39,photo,Studying,,,Studying,54269
15,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,15,negative,03-09-2020 18:51,photo,Studying,,,dogs,52511
16,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,75,positive,24-02-2021 05:09,photo,Studying,,,tennis,50339
17,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,35,neutral,23-09-2020 06:24,photo,Studying,,,veganism,49619
18,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,20,neutral,24-02-2021 11:37,photo,Studying,,,public speaking,49264
19,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,30,positive,22-05-2021 19:44,photo,Studying,,,,
20,97522e57-d9ab-4bd6-97bf-c24d952602d2,intrigued,45,positive,31-01-2021 16:03,photo,Studying,,,,
21,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,35,neutral,20-11-2020 17:26,photo,Studying,,,,
22,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,12,negative,11-04-2021 20:47,photo,Studying,,,TOP 5,
23,97522e57-d9ab-4bd6-97bf-c24d952602d2,like,50,positive,13-06-2021 16:46,photo,Studying,,,Animals,74965
24,97522e57-d9ab-4bd6-97bf-c24d952602d2,heart,60,positive,11-04-2021 14:29,photo,Studying,,,science,71168
25,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,12,negative,02-03-2021 19:21,photo,Studying,,,healthy eating,69339
26,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,5,negative,27-06-2020 18:44,photo,Studying,,,technology,68738
27,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,5,negative,09-05-2021 21:05,photo,Studying,,,food,66676
28,97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,70,positive,04-08-2020 23:58,photo,Studying,,,,
29,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,75,positive,28-08-2020 03:57,photo,Studying,,,,
30,97522e57-d9ab-4bd6-97bf-c24d952602d2,intrigued,45,positive,25-08-2020 08:21,photo,Studying,,,,
31,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,15,negative,20-04-2021 23:48,photo,Studying,,,,
32,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,30,positive,07-03-2021 12:40,photo,Studying,,,,
33,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,20,neutral,24-05-2021 03:21,photo,Studying,,,,
34,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,75,positive,24-01-2021 11:03,photo,Studying,,,,
35,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,0,negative,09-04-2021 02:46,photo,Studying,,,,
36,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,75,positive,02-02-2021 03:43,photo,Studying,,,,
37,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,30,positive,04-02-2021 03:06,photo,Studying,,,,
38,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,10,negative,09-11-2020 02:49,photo,Studying,,,,
39,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,15,negative,29-09-2020 16:00,photo,Studying,,,,
40,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,10,negative,29-11-2020 21:33,photo,Studying,,,,
41,97522e57-d9ab-4bd6-97bf-c24d952602d2,want,70,positive,13-02-2021 07:54,photo,Studying,,,,
42,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,30,positive,14-07-2020 05:28,photo,Studying,,,,
43,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,20,neutral,23-08-2020 10:30,photo,Studying,,,,
44,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,12,negative,10-05-2021 09:27,photo,Studying,,,,
45,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,5,negative,15-03-2021 03:59,photo,Studying,,,,
46,9f737e0a-3cdd-4d29-9d24-753f4e3be810,dislike,10,negative,25-06-2020 17:01,photo,healthy eating,,,,
47,9f737e0a-3cdd-4d29-9d24-753f4e3be810,intrigued,45,positive,13-09-2020 00:11,photo,healthy eating,,,,
48,9f737e0a-3cdd-4d29-9d24-753f4e3be810,peeking,35,neutral,20-08-2020 18:17,photo,healthy eating,,,,
49,9f737e0a-3cdd-4d29-9d24-753f4e3be810,scared,15,negative,11-02-2021 04:53,photo,healthy eating,,,,
50,9f737e0a-3cdd-4d29-9d24-753f4e3be810,hate,5,negative,08-03-2021 10:40,photo,healthy eating,,,,
51,9f737e0a-3cdd-4d29-9d24-753f4e3be810,disgust,0,negative,28-03-2021 21:15,photo,healthy eating,,,,
52,9f737e0a-3cdd-4d29-9d24-753f4e3be810,hate,5,negative,25-05-2021 01:00,photo,healthy eating,,,,
53,9f737e0a-3cdd-4d29-9d24-753f4e3be810,like,50,positive,15-03-2021 12:17,photo,healthy eating,,,,
54,9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,65,positive,05-05-2021 16:26,photo,healthy eating,,,,
55,9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,65,positive,31-08-2020 00:21,photo,healthy eating,,,,
56,9f737e0a-3cdd-4d29-9d24-753f4e3be810,heart,60,positive,16-06-2021 03:02,photo,healthy eating,,,,
57,9f737e0a-3cdd-4d29-9d24-753f4e3be810,indifferent,20,neutral,07-07-2020 10:52,photo,healthy eating,,,,
58,9f737e0a-3cdd-4d29-9d24-753f4e3be810,peeking,35,neutral,20-08-2020 07:59,photo,healthy eating,,,,
59,9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,65,positive,23-09-2020 11:15,photo,healthy eating,,,,
60,9f737e0a-3cdd-4d29-9d24-753f4e3be810,like,50,positive,24-03-2021 05:56,photo,healthy eating,,,,
61,230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,5,negative,07-12-2020 19:13,photo,healthy eating,,,,
62,230c4e4d-70c3-461d-b42c-ec09396efb3f,super love,75,positive,03-08-2020 16:41,photo,healthy eating,,,,
63,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,72,positive,10-01-2021 15:36,photo,healthy eating,,,,
64,230c4e4d-70c3-461d-b42c-ec09396efb3f,scared,15,negative,20-09-2020 08:48,photo,healthy eating,,,,
65,230c4e4d-70c3-461d-b42c-ec09396efb3f,cherish,70,positive,20-07-2020 14:06,photo,healthy eating,,,,
66,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,72,positive,24-10-2020 12:15,photo,healthy eating,,,,
67,230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,30,positive,06-06-2021 01:27,photo,healthy eating,,,,
68,230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,60,positive,25-12-2020 00:09,photo,healthy eating,,,,
69,230c4e4d-70c3-461d-b42c-ec09396efb3f,like,50,positive,14-06-2021 07:56,photo,healthy eating,,,,
70,230c4e4d-70c3-461d-b42c-ec09396efb3f,like,50,positive,05-06-2021 18:00,photo,healthy eating,,,,
71,230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,5,negative,18-11-2020 23:37,photo,healthy eating,,,,
72,230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,30,positive,09-05-2021 02:42,photo,healthy eating,,,,
73,230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,10,negative,11-05-2021 08:38,photo,healthy eating,,,,
74,230c4e4d-70c3-461d-b42c-ec09396efb3f,peeking,35,neutral,12-11-2020 08:00,photo,healthy eating,,,,
75,230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,60,positive,21-06-2020 16:57,photo,healthy eating,,,,
76,230c4e4d-70c3-461d-b42c-ec09396efb3f,super love,75,positive,04-03-2021 23:58,photo,healthy eating,,,,
77,230c4e4d-70c3-461d-b42c-ec09396efb3f,want,70,positive,09-07-2020 16:47,photo,healthy eating,,,,
78,230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,5,negative,01-08-2020 19:16,photo,healthy eating,,,,
79,230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,10,negative,23-11-2020 22:46,photo,healthy eating,,,,
80,230c4e4d-70c3-461d-b42c-ec09396efb3f,scared,15,negative,11-12-2020 14:08,photo,healthy eating,,,,
81,230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,10,negative,23-04-2021 23:41,photo,healthy eating,,,,
82,230c4e4d-70c3-461d-b42c-ec09396efb3f,want,70,positive,13-11-2020 00:33,photo,healthy eating,,,,
83,230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,30,positive,09-06-2021 10:13,photo,healthy eating,,,,
84,230c4e4d-70c3-461d-b42c-ec09396efb3f,love,65,positive,29-10-2020 19:41,photo,healthy eating,,,,
85,230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,60,positive,14-05-2021 12:47,photo,healthy eating,,,,
86,230c4e4d-70c3-461d-b42c-ec09396efb3f,disgust,0,negative,04-08-2020 05:40,photo,healthy eating,,,,
87,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,72,positive,07-08-2020 04:09,photo,healthy eating,,,,
88,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,72,positive,23-10-2020 21:19,photo,healthy eating,,,,
89,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,72,positive,14-11-2020 23:53,photo,healthy eating,,,,
90,230c4e4d-70c3-461d-b42c-ec09396efb3f,worried,12,negative,04-08-2020 19:26,photo,healthy eating,,,,
91,230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,30,positive,12-11-2020 04:54,photo,healthy eating,,,,
92,356fff80-da4d-4785-9f43-bc1261031dc6,worried,12,negative,03-04-2021 12:17,photo,technology,,,,
93,356fff80-da4d-4785-9f43-bc1261031dc6,want,70,positive,27-09-2020 22:15,photo,technology,,,,
94,356fff80-da4d-4785-9f43-bc1261031dc6,heart,60,positive,27-10-2020 05:45,photo,technology,,,,
95,356fff80-da4d-4785-9f43-bc1261031dc6,scared,15,negative,15-10-2020 09:11,photo,technology,,,,
96,356fff80-da4d-4785-9f43-bc1261031dc6,heart,60,positive,07-05-2021 09:16,photo,technology,,,,
97,356fff80-da4d-4785-9f43-bc1261031dc6,hate,5,negative,16-09-2020 08:39,photo,technology,,,,
98,356fff80-da4d-4785-9f43-bc1261031dc6,indifferent,20,neutral,29-10-2020 15:38,photo,technology,,,,
99,01ab84dd-6364-4236-abbb-3f237db77180,scared,15,negative,24-05-2021 18:03,video,food,,,,
100,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,interested,30,positive,25-02-2021 20:02,GIF,cooking,,,,
101,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,hate,5,negative,02-05-2021 03:45,GIF,cooking,,,,
102,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,want,70,positive,28-01-2021 08:49,GIF,cooking,,,,
103,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,peeking,35,neutral,15-02-2021 13:06,GIF,cooking,,,,
104,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,dislike,10,negative,04-11-2020 21:25,GIF,cooking,,,,
105,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,love,65,positive,23-06-2020 22:12,GIF,cooking,,,,
106,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,cherish,70,positive,16-02-2021 04:01,GIF,cooking,,,,
107,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,interested,30,positive,03-01-2021 08:44,GIF,cooking,,,,
108,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,adore,72,positive,25-11-2020 12:45,GIF,cooking,,,,
109,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,like,50,positive,03-12-2020 16:47,GIF,cooking,,,,
110,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,like,50,positive,22-05-2021 21:03,GIF,cooking,,,,
111,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,cherish,70,positive,18-01-2021 13:39,GIF,cooking,,,,
112,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,indifferent,20,neutral,06-01-2021 00:35,GIF,cooking,,,,
113,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,adore,72,positive,14-05-2021 14:33,GIF,cooking,,,,
114,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,worried,12,negative,27-05-2021 15:21,GIF,cooking,,,,
115,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,peeking,35,neutral,21-07-2020 02:12,GIF,cooking,,,,
116,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,dislike,10,negative,26-05-2021 06:09,GIF,cooking,,,,
117,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,dislike,10,negative,25-02-2021 03:16,GIF,cooking,,,,
118,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,intrigued,45,positive,07-12-2020 22:50,GIF,cooking,,,,
119,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,indifferent,20,neutral,24-10-2020 14:06,GIF,cooking,,,,
120,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,peeking,35,neutral,01-09-2020 21:18,GIF,cooking,,,,
121,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,adore,72,positive,10-05-2021 22:07,GIF,cooking,,,,
122,3f8590c7-6ab2-4973-805a-90cdec355f05,cherish,70,positive,12-02-2021 16:37,video,dogs,,,,
123,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,60,positive,28-04-2021 15:22,video,dogs,,,,
124,3f8590c7-6ab2-4973-805a-90cdec355f05,intrigued,45,positive,24-01-2021 00:38,video,dogs,,,,
125,3f8590c7-6ab2-4973-805a-90cdec355f05,worried,12,negative,18-03-2021 01:53,video,dogs,,,,
126,3f8590c7-6ab2-4973-805a-90cdec355f05,disgust,0,negative,14-01-2021 07:21,video,dogs,,,,
127,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,60,positive,23-12-2020 04:11,video,dogs,,,,
128,3f8590c7-6ab2-4973-805a-90cdec355f05,hate,5,negative,21-05-2021 07:23,video,dogs,,,,
129,3f8590c7-6ab2-4973-805a-90cdec355f05,like,50,positive,28-03-2021 23:25,video,dogs,,,,
130,3f8590c7-6ab2-4973-805a-90cdec355f05,peeking,35,neutral,16-09-2020 07:33,video,dogs,,,,
131,3f8590c7-6ab2-4973-805a-90cdec355f05,indifferent,20,neutral,08-11-2020 10:53,video,dogs,,,,
132,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,60,positive,06-03-2021 05:23,video,dogs,,,,
133,3f8590c7-6ab2-4973-805a-90cdec355f05,disgust,0,negative,13-01-2021 23:35,video,dogs,,,,
134,3f8590c7-6ab2-4973-805a-90cdec355f05,want,70,positive,06-09-2020 22:35,video,dogs,,,,
135,3f8590c7-6ab2-4973-805a-90cdec355f05,interested,30,positive,24-06-2020 09:31,video,dogs,,,,
136,3f8590c7-6ab2-4973-805a-90cdec355f05,hate,5,negative,07-02-2021 21:39,video,dogs,,,,
137,3f8590c7-6ab2-4973-805a-90cdec355f05,intrigued,45,positive,21-01-2021 18:28,video,dogs,,,,
138,3f8590c7-6ab2-4973-805a-90cdec355f05,dislike,10,negative,27-02-2021 00:21,video,dogs,,,,
139,3f8590c7-6ab2-4973-805a-90cdec355f05,worried,12,negative,22-08-2020 12:06,video,dogs,,,,
140,3f8590c7-6ab2-4973-805a-90cdec355f05,cherish,70,positive,03-08-2020 06:29,video,dogs,,,,
